"date","dow","holiday","temp","rh","co","fsp","no","no2","nox","o3","o3h8max","rsp","so2","isc","hem"
2008-01-01,2,1,-0.573490596315937,-3.08423117669299,-1.43128578247673,-0.649843759548992,-1.30592143790133,-1.35982650960862,-1.58092694898845,1.02754511752609,0.534706804773205,-0.0112661736091917,0.546301775657776,-1.33556055405833,-0.716113801379413
2008-01-02,3,0,-0.717630094405564,-1.84097369416678,-0.029398106488177,-0.0758266966589411,-0.374303040658239,-0.169850019334304,-0.373328134652606,0.14538731002724,-0.262529793187223,-0.293852804922793,1.24599628260095,0.170910843967426,1.64090852546294
2008-01-03,4,0,-0.274534600278186,-0.754632204580762,0.981877069047987,1.02746526899445,1.32172563511444,1.84709342012975,1.79799172672659,-0.446900003835574,0.0540221101256777,0.50143907878443,1.66907485426051,1.11440277558609,-0.408676106573888
2008-01-04,5,0,0.0190828958303171,0.0661591431064481,0.445882080290112,0.0759372162446042,0.875575604566696,0.327300456738127,0.767685503782586,-0.193450862055394,0.21791710285861,-0.481370502690581,-0.0596233631861883,0.664552592613768,0.957713648117332
2008-01-05,6,0,0.446162890169961,-1.11674603444277,2.54739456943686,2.4155308085272,1.09227927492372,1.96893661637872,1.72764943949895,0.107754475861725,0.8374342164359,1.02089498567014,2.43302280117827,0.0211047762749199,0.206199283037161
2008-01-06,7,0,0.915950883943567,0.0903000650972487,0.716506354700322,-0.196630719970636,-0.296929610753655,0.605270700440022,0.0674592701748233,0.467161516694695,0.600653952283972,-0.478451534359899,-0.251857747482944,-0.332543817117795,1.1968318551883
2008-01-07,1,0,1.93026587050022,-0.996041424488765,1.88196631020713,1.43789590258681,3.72696141436825,3.34169447391694,4.22507552153115,-0.387577902831901,0.180964598970776,0.834072933050012,2.73363601572617,1.24579792274253,-3.07313612822177
2008-01-08,2,0,2.30929936547665,-0.283884225760156,0.494487671423686,-0.310342916016177,0.49621828700042,1.28946390633249,0.960277416895519,0.161348245723088,-0.611612545211767,-0.282477642931011,0.316173046065585,0.889298967343113,-0.681954057512132
2008-01-09,3,0,2.64562486101912,0.392061589982253,-0.612169262904665,-0.168691390385375,0.0409059237886061,0.18507959562203,0.111977590911298,0.471784847447604,-0.464508931388989,-0.120650538728805,-0.0299123416873575,-0.672627368105722,1.1968318551883
2008-01-10,4,0,2.32531486526439,1.64738953350387,-0.652586281807501,0.283388755777168,-1.26817948364009,-0.950707722292649,-1.38441669640961,0.871753221266656,0.351895632683222,0.299735858509406,-0.830347269824608,-0.0860165520133908,0.786914928780929
2008-01-11,5,0,2.83247235854271,2.64923779612208,-1.184306194497,-1.60171280175467,0.504460865294059,-0.866418905825357,-0.0820569683499858,-0.783080501289884,-0.793052878303753,-0.901685779963908,-1.28251564372183,1.38817807830662,0.240359026904441
2008-01-12,6,0,3.33962985182104,0.790386802830457,-1.06647173714356,-1.98378504138925,2.43465981092042,-0.518185500329948,1.50437997965734,-0.969386605990027,-0.855030187981546,-1.79439128430964,-0.337128033906252,-0.184688845388949,-2.3216217631416
2008-01-13,7,0,2.0103433694389,0.597259426904054,1.42737034382618,-0.408166789026153,-0.586931119292078,-1.0283113018395,-0.898723417477356,-0.211268987210711,-0.0894445839064965,-0.209717543559382,-0.36880005087973,-0.393877198198256,-0.921072264583096
2008-01-14,1,0,0.440824390240714,-0.259743303769357,0.601052713598033,-1.51252513797563,-0.916671914693536,-1.09698609278176,-1.16452050236962,-0.283264186015131,-0.513559788841796,-1.10794995444988,-0.520812236303724,-1.03717300897686,1.67506826933022
2008-01-15,2,0,0.163222393919947,-0.114897771824555,0.329393282945966,-0.459162102678567,-1.19973042081509,-1.2774366618466,-1.45032096330121,-0.363814565471182,-0.798536234295739,-0.280088156337549,0.00548012199866986,-1.14392022821766,1.60674878159566
2008-01-16,3,0,0.00840589597182733,-0.658068516617562,0.272112657264969,-0.584459265937738,-0.59979542947742,-0.851017605222301,-0.831814252776705,-0.623756440911125,-0.735604932580564,-0.437561975871369,0.350559278079804,-0.738578338426367,-1.60426714192871
2008-01-17,4,0,-0.50942859716499,-0.223531920783156,1.51282466226472,0.528952197024477,0.290804892562448,-1.1952366636628,-0.353416279783285,-1.06303230611217,-1.0009951661468,0.362707634658181,0.763391413789604,0.951066905791723,-0.476995594308449
2008-01-18,5,0,-0.125056602259313,0.536907121927054,0.55070944573597,-0.63826910812533,-0.631858533202619,-1.60022479011979,-1.17607020795504,-0.643939728316716,-0.70048767437168,-0.889926362246301,-0.538985733864646,-0.461515724057778,0.342838258506283
2008-01-19,6,0,0.253976892717122,0.899020951789058,-0.402750734433694,-1.47888299804589,-1.1268585906063,-1.67501625848071,-1.57913385468706,-0.0913561874270692,-0.580982686498366,-1.2278183314546,-1.16816710300477,0.130579049703837,0.923553904250052
2008-01-20,7,0,0.990689882953003,1.15250063269246,0.315113487988852,-1.07845400769931,1.46616811592506,-0.313830782522509,0.934333729638161,-0.821713858604226,-0.719717188356844,-1.09527030262218,0.174974358458191,-1.16487039430753,0.0695603075680388
2008-01-21,1,0,0.536917388967133,0.367920667991452,7.00190973137755,2.47814502886703,3.66548824694782,2.45192313444457,3.7711124147589,-1.30811431705543,-0.934477301991973,2.39265196118256,7.43023411727477,-1.00222907956032,-1.02355149618494
2008-01-22,2,0,0.243299892858631,0.102370526092648,5.88732524293575,2.4190468560577,1.77302781938725,2.50872820487376,2.4188536912295,-0.908220040910292,-0.499841607154701,2.24237379212836,5.94458789580849,0.108970992816068,1.74338775706478
2008-01-23,3,0,0.54225588889638,-1.02018234647957,3.0986410371159,0.555418733430227,-0.380813664009194,0.319063017825596,-0.0715240213670313,-0.263898593708778,-0.539770790009613,0.36347664233197,1.14435643274111,-1.05363592420613,0.0695603075680392
2008-01-24,4,0,-0.375966098933852,0.645541270885655,1.40821189273645,0.253330995231745,-0.74980123089601,-0.988555318464496,-1.01300527414026,-0.241175927477073,-0.296929459145115,-0.153182631190878,-0.618982688264963,-2.28622307083211,1.16267211132102
2008-01-25,5,0,-0.0716716029668562,2.19056027829688,3.14020166394074,0.229009088158272,1.02376568482775,-0.340563655062454,0.54334718071849,-0.976165988495068,-0.881972769553397,-0.596140341366245,-0.608938033303395,-1.12222851710936,-0.101238411768364
2008-01-26,6,0,0.173899393778439,1.56289630653607,3.7334670592715,-1.24377521583568,0.874929938592988,-1.01378854770495,0.142211394173023,-1.44084438007623,-1.1792187418568,-1.44845328447937,-0.766160216267924,-0.359674704681032,-0.203717643370205
2008-01-27,7,0,-1.05929408987728,1.11628924970626,2.97635160302837,-1.72445798533463,1.07548600358639,-1.19400286232387,0.187540639606591,-1.35767583556439,-1.2183864513689,-1.84507387058101,-0.57843769692929,0.389300595924904,-1.29682944712318
2008-01-28,1,0,-0.504090097235744,0.923161873779859,4.07756302637702,-0.408500789197255,3.58115243658048,-0.258784647879954,2.41863619941357,-1.19204594497596,-1.24843999817702,-0.942455238648129,1.46524972041744,-0.616560326465202,0.103720051435319
2008-01-29,2,0,-1.23546458754238,0.802457263825858,4.3247243222285,-1.27027597355877,3.58408895965217,-0.81683085191555,2.11053235915421,-1.07983523041686,-1.07434064780084,-0.944070130037398,2.02985397156728,0.806358284876719,-0.169557899502925
2008-01-30,3,0,-1.50238958400466,1.81637598743947,3.22310640238699,-1.39491929265518,1.2892745611461,-0.95345129448868,0.456765594302441,-1.41211041721482,-1.32639177862739,-1.663606877468,-0.675599639932732,-4.00258088071753,1.16267211132102
2008-01-31,4,0,-2.53805857027829,1.61117815051767,3.23319274621027,-1.17026478803848,0.647650237781181,-0.946559580950979,-0.00338267720800918,-1.06669408674717,-1.29413649653065,-1.3076246692803,-0.708305254585276,-0.749305239531171,-0.647794313644852
2008-02-01,5,0,-2.27113357381601,1.09214832771546,3.64313222580668,-0.52845411905352,0.55010210303159,-1.34604060116705,-0.246221570787459,-1.0424512557978,-1.1375055516718,-0.733766601568821,-0.141046540510792,0.133912560980376,-0.681954057512132
2008-02-02,6,0,-3.09326256291982,1.64738953350387,4.22829839187448,-1.58785354188941,2.17009708025417,-0.663447725760987,1.20944182163412,-1.39353310144219,-1.38967138535328,-1.67859126266724,0.00876312966058625,-0.142992256589589,2.49490212214495
2008-02-03,7,0,-2.30850307332073,-0.730491282589963,2.63527914405161,0.355380578755671,-0.511093335401458,0.0205738393906794,-0.343665281115717,-0.263935839827684,-0.354743894477971,-0.333378794618483,1.3607584666023,-0.107330159021066,2.52906186601223
2008-02-04,1,0,-1.77465308039618,0.211004675051249,2.90492023719846,1.88551189273592,-0.634613755360529,-0.0615335853175951,-0.492071542012228,-0.455107024845228,-0.819055455991263,0.922702788418055,0.851542980937058,0.741702518860708,0.650275953311807
